hashtag,desc,likes
depression,l0nelysoul0,0
depression,kendimcebisileryapiyom,0
depression,l0nelysoul0,0
depression,yangjwoni6936,0
depression,missbusrra,0
depression,gxrmelio,0
depression,hayalet_q09,0
depression,.psikolojide,0
depression,cokyarragimdaydi,0
depression,_bqateman,0
depression,slo.fuzz,0
depression,.aliss.aleyna,0
depression,username6252819,0
depression,yourgirlloulou,0
depression,profdrnevzattarhan,0
depression,o.secretsz,0
depression,kingscommunity3,0
depression,kendallmaynard25,0
depression,sadinthesoul,0
depression,neverafternoon,0
depression,lulltv,0
depression,depri.r,0
depression,birpsikolog,0
depression,mycanimationsextra,0
depression,missyamiejane,0
depression,1luvs0ngs,0
depression,nolahairyfairy,0
depression,naar_the_silent_seeing,0
depression,aysepw,0
depression,deepthoughtss44,0
depression,imhersheherwho,0
depression,anxietyjey,0
depression,nouluvrs,0
depression,derchrist_,0
depression,cokyarragimdaydi,0
depression,emotional.motivation21,0
depression,stanrrri,0
depression,abdul_latif_230,0
depression,kenya_may_,0
depression,sometimesadina,0
anxiety,hbomaxbr,0
anxiety,lozandal,0
anxiety,mindscan24,0
anxiety,calm,0
anxiety,marcelotwelve,0
anxiety,britini_dangelo,0
anxiety,blodvfx,0
anxiety,00.80.h,0
anxiety,_ruelmarcelinojr,0
anxiety,amandaazoitei,0
anxiety,lilnuts444,0
anxiety,lyrics.songs.nr1,0
anxiety,theanxiouspsych,0
anxiety,lysah__,0
anxiety,minwashi,0
anxiety,tr1lice,0
anxiety,rosarevelry,0
anxiety,thesadnesspage,0
anxiety,alessialanza,0
anxiety,lizpopart,0
anxiety,deepthoughtss44,0
anxiety,oliviaallumxo,0
anxiety,meriyniz,0
anxiety,marylouleloup,0
anxiety,hey_itsynaaa,0
anxiety,mykenna,0
anxiety,edacapsikoloji,0
anxiety,emilyhessey_,0
anxiety,brookeandjess,0
anxiety,pepiyearsong,0
anxiety,willsmith,0
anxiety,shirleypatriciadixon,0
anxiety,badsongs01,0
anxiety,therapyjessaofficial,0
anxiety,brookemonk_,0
anxiety,attractive_lines,0
anxiety,_tinkerbeli,0
anxiety,zernabshastri3,0
anxiety,mollycarlson,0
anxiety,syedamehreen06,0
suicide,luv4you35,0
suicide,jay_secretacc1,0
suicide,tonyozkan,0
suicide,uesname335,0
suicide,aespayarii,0
suicide,notti285,0
suicide,ce1ce2ce,0
suicide,lampsformoth,0
suicide,jj_fizzy,0
suicide,theojamesenthusiast01,0
suicide,marriescabral21,0
suicide,olive.and.mum,0
suicide,lskd.co,0
suicide,spam26571,0
suicide,teen_x_spoonie,0
suicide,faye_359,0
suicide,myliilhideout,0
suicide,still_alive.3,0
suicide,yeraltindanbilgiler,0
suicide,1eqp1,0
suicide,tiktoktoni75,0
suicide,editsbytzo,0
suicide,legaldrip,0
suicide,nergissgnss00,0
suicide,_pain1808_,0
suicide,stormcapcutx,0
suicide,dreamoin,0
suicide,5klyrics,0
suicide,lyrics.songpremium,0
suicide,im_just_giuliana,0
